,H1,H2,lnD1,lnD2,lnD3,lnD4,lnD5,lnD6,E1,E2,E3,SN
76,164,214,-1.133949353,-1.55955311,-2.055256375,-2.324728458,-2.881154369,-3.053149544,2671,226,151,3.922137552
77,136,245,-0.196270391,-0.564877104,-0.969190579,-1.341359237,-1.609187944,-1.78557861,1388,167,47,2.617895964
78,40,247,-0.738625834,-1.357629162,-1.849219105,-2.087554362,-2.631922841,-2.78401374,7180,456,117,3.341608505
79,185,571,-1.268582439,-1.418817553,-1.588606403,-1.721823043,-1.889747231,-2.039913184,7844,428,52,10.56726106
80,210,164,-1.317141502,-1.594894187,-1.907439717,-2.14447085,-2.521612129,-2.783690115,3552,434,118,5.46665924
81,160,412,-1.172829498,-1.420347648,-1.763288637,-2.009840855,-2.410838678,-2.621138829,6490,175,102,6.352590265
82,111,437,-1.088889707,-1.558412154,-2.139871183,-2.390760784,-3.000141982,-3.127208636,5053,211,160,5.0484845
83,214,281,-1.776614732,-1.996793001,-2.280921453,-2.514912352,-2.838386703,-3.13017837,8308,252,170,8.583178752
84,139,491,-0.907925816,-1.072652187,-1.252043228,-1.376383635,-1.546275337,-1.69876105,7143,457,38,8.375164078
85,201,482,-1.072009307,-1.247576442,-1.41259727,-1.533774009,-1.697013085,-1.845160246,4114,490,44,8.621306181
86,186,298,-0.514666323,-0.717849793,-0.916115747,-1.058632248,-1.285616793,-1.448382553,2047,407,33,5.074652187
87,165,492,-1.218511311,-1.590321795,-2.029813633,-2.27759984,-2.751845361,-2.926392795,3488,216,135,5.915617511
88,71,222,-0.359579157,-0.752982114,-1.181168152,-1.570409525,-1.843010659,-2.084574694,5006,312,59,3.272683631
89,99,398,-0.87303969,-1.470981169,-1.89758676,-2.101441782,-2.544784051,-2.700677447,1484,378,112,4.325690715
90,224,492,-1.35848466,-1.680611732,-2.029433072,-2.266928416,-2.666284652,-2.919512248,3077,205,130,6.629658338
91,178,552,-0.989856543,-1.278732271,-1.500045536,-1.626634937,-1.838788186,-1.985150062,2198,438,51,7.351801928
92,190,309,-1.532384283,-1.743083597,-2.028444291,-2.258185506,-2.576495761,-2.861725994,8245,243,129,7.91856697
93,60,491,-1.262697149,-1.935445099,-2.416762138,-2.60166521,-3.072613318,-3.299272762,6932,491,181,6.190360614
94,161,543,-1.589782355,-1.886575771,-2.205458382,-2.38792514,-2.669166083,-2.902424096,6077,457,128,9.048195261
95,108,200,-0.342870663,-0.597946098,-0.94803943,-1.294043401,-1.601618563,-1.816154626,5131,243,46,3.814745043
96,126,337,-0.846624754,-1.339296278,-1.94869402,-2.211556795,-2.872983808,-2.990147895,2860,153,138,3.539658378
97,164,311,-1.04679813,-1.236358264,-1.503277717,-1.715242971,-2.034927172,-2.240643691,7328,219,72,6.618837911
98,178,437,-1.46356425,-1.713687934,-2.032634295,-2.258281167,-2.621276352,-2.863651933,6616,266,125,7.801502552
99,128,391,-1.165104717,-1.437461348,-1.804966297,-2.040682474,-2.444379099,-2.63721902,8439,248,103,6.541853365
100,241,580,-1.464255903,-1.641134999,-1.848139363,-2.017406151,-2.246961189,-2.456085984,6284,208,85,9.67893574
101,243,336,-1.626126394,-1.943722544,-2.235393843,-2.43703119,-2.733829654,-2.992138738,3391,447,146,7.496080514
102,163,315,-1.233024069,-1.586160936,-1.96604143,-2.195256515,-2.607345507,-2.857710976,3293,355,122,5.446925371
103,109,268,-1.253863574,-1.662311402,-2.202649264,-2.471477229,-3.062299518,-3.217626605,7847,255,175,5.052914788
104,104,440,-1.166452254,-1.485849538,-1.832956534,-2.019513633,-2.361062023,-2.572427247,8033,409,93,6.914770818
105,223,327,-1.235153922,-1.724848764,-2.098257456,-2.312837469,-2.717797553,-2.957281087,1408,395,136,5.174722092
106,138,587,-1.350811394,-1.708429862,-2.165348075,-2.413293215,-2.897335952,-3.153556359,6130,241,153,7.245065504
107,112,354,-0.744293117,-1.083438003,-1.499866276,-1.733075553,-2.171293707,-2.350935354,4917,208,77,4.550897802
108,44,197,-0.101213571,-0.744082644,-1.291311508,-1.779336949,-1.948413279,-2.216223927,2608,255,69,1.953438277
109,161,452,-1.555139139,-1.859759976,-2.190596591,-2.386945442,-2.689277516,-2.943139823,5664,460,135,8.086643612
110,220,362,-0.57919369,-0.860193993,-1.039815218,-1.158298601,-1.358679194,-1.515401271,1079,494,34,5.414352042
111,217,192,-1.627703721,-1.869375125,-2.149349117,-2.371292291,-2.681943954,-2.961137629,5637,497,144,7.263846737
112,233,213,-1.785757517,-2.018534607,-2.301585593,-2.535905251,-2.860502324,-3.154024853,6908,248,175,7.983512395
113,184,399,-0.93003475,-1.413953369,-1.918956679,-2.174895732,-2.726163257,-2.882225033,1527,171,128,4.005156366
114,97,335,-0.614391455,-0.945590818,-1.36598206,-1.741256487,-2.047710344,-2.229799423,6431,192,68,4.370861963
115,94,570,-0.90113122,-1.479726306,-2.122098552,-2.338626864,-2.973188309,-3.060164134,4122,201,150,5.006408441
116,149,313,-0.70576647,-0.852166359,-1.04867992,-1.199250638,-1.428617482,-1.597015392,7192,364,38,6.814701966
117,168,357,-1.618377754,-1.902333552,-2.303685698,-2.590267165,-3.085000741,-3.392634151,8240,198,200,7.200498441
118,94,156,-1.182602779,-1.676005157,-2.282194403,-2.539574051,-3.190045443,-3.309895223,6904,336,190,3.855875212
119,134,346,-0.942429389,-1.406578704,-1.787966671,-1.995909544,-2.397115577,-2.570333828,1658,403,99,4.513663272
120,159,398,-1.372588714,-1.633679377,-1.994732814,-2.249613208,-2.672634796,-2.943709245,7536,209,132,6.962980662
121,198,216,-0.784100864,-0.89303818,-1.05664535,-1.201941535,-1.415887964,-1.604450371,8155,202,39,7.393709243
122,192,379,-1.455301518,-1.752557987,-2.057445244,-2.255129152,-2.550918255,-2.805111914,3961,434,120,7.209478806
123,118,331,-1.201475924,-1.553435722,-2.003518076,-2.254271233,-2.739386081,-2.919326942,7092,278,134,5.639647722
124,143,458,-1.401651683,-1.777028505,-2.199126385,-2.422157228,-2.853538508,-3.093565634,4866,342,150,6.792464759
125,184,415,-1.648230717,-1.935306566,-2.278575641,-2.508748624,-2.849901825,-3.139602644,6143,343,163,8.055831676
126,240,422,-0.899531948,-1.024822939,-1.168187473,-1.289058763,-1.453631461,-1.610088124,4919,249,36,8.242505565
127,211,290,-0.625619382,-0.864884944,-1.098022463,-1.267516265,-1.534655168,-1.712467813,1815,303,43,4.791617049
128,174,508,-1.328516139,-1.570890503,-1.824489294,-1.982677873,-2.216315658,-2.417547111,5021,421,80,8.416956707
129,151,324,-1.143724724,-1.502064424,-1.990844755,-2.281606687,-2.855622566,-3.045552969,4513,152,148,4.69373701
130,67,283,-0.19723217,-0.543021734,-0.846624754,-1.134664427,-1.395335106,-1.589194206,2595,390,38,3.376070369
131,144,587,-1.11984614,-1.351467904,-1.681041331,-1.911759962,-2.282978563,-2.47681944,8394,167,87,7.268651338
132,149,555,-1.742512267,-2.047167981,-2.400639033,-2.601530358,-2.913967972,-3.169847594,8474,467,165,9.741169687
133,200,549,-1.270005775,-1.766325668,-2.217784491,-2.441617302,-2.906989064,-3.146322632,1765,273,155,6.188381564
134,69,410,-0.902239909,-1.820838187,-2.36904546,-2.5750502,-3.184232881,-3.279156756,1029,370,194,3.882634517
135,186,562,-1.337732795,-1.68088021,-1.983549713,-2.147720382,-2.407612331,-2.622652626,2854,408,97,7.835352901
136,101,413,-0.903004388,-1.699417326,-2.24497678,-2.450041562,-3.023514655,-3.132239518,1053,329,168,4.010960002
137,239,508,-1.083615308,-1.264926647,-1.464342393,-1.619841846,-1.833832246,-2.027912275,4004,202,55,7.662485303
138,76,160,-0.807548441,-1.522755756,-2.311424042,-2.508502864,-3.322293784,-3.322293784,4763,178,190,2.511892314
139,160,235,-0.638242415,-0.945925537,-1.299639714,-1.5364663,-1.938497689,-2.141742568,2220,242,64,3.777246447
140,88,502,-1.212979913,-1.63701468,-1.997382407,-2.162823151,-2.499208434,-2.697110261,6232,492,105,6.944051009
141,57,170,0.253509794,-0.10572725,-0.561014265,-0.98256409,-1.228094746,-1.486158896,7286,195,33,2.561666245
142,119,266,-1.157184643,-1.458607023,-1.834145186,-2.07155274,-2.486628131,-2.684284848,7134,408,109,5.680734852
143,154,567,-1.487087545,-1.898187221,-2.35989646,-2.591467886,-3.06315495,-3.306887702,4312,316,180,7.436111967
144,226,196,-1.637888829,-1.822136206,-2.065144237,-2.279650122,-2.569549924,-2.839754692,8377,193,132,8.245718703
145,110,288,-1.002556932,-1.469893385,-1.947922172,-2.183469612,-2.685310714,-2.849037894,3268,343,126,4.20721841
146,102,572,-1.346420015,-1.838536661,-2.392181627,-2.609382029,-3.145393048,-3.387294476,6690,317,187,7.005457353
147,204,340,-1.69461461,-1.930263203,-2.231940253,-2.468285549,-2.80016549,-3.094448246,7473,261,161,8.29165536
148,157,272,-1.030103534,-1.344384958,-1.734604389,-1.985586966,-2.427015171,-2.627484553,3803,233,102,4.773014697
149,238,484,-1.180451609,-1.303498524,-1.450257048,-1.576825525,-1.745658632,-1.90542101,6975,252,48,9.877904226
150,239,490,-1.251378927,-1.782660986,-2.158571333,-2.352616027,-2.737530506,-2.953247662,1271,347,134,6.260364469
151,155,224,-1.548813291,-1.865427538,-2.2705052,-2.532753259,-2.998937405,-3.279156756,6665,383,180,6.143027594
152,92,280,-0.892086043,-1.259978941,-1.66802087,-1.898654495,-2.333456757,-2.518380707,6133,383,92,4.706505353
153,204,249,-0.886901847,-1.010244332,-1.169893491,-1.301254927,-1.490766383,-1.674083106,6209,449,41,7.651393936
154,77,329,-0.944587331,-1.652763037,-2.35926127,-2.564469473,-3.285817231,-3.335409641,4445,246,196,3.726361522
155,64,492,-0.245657601,-0.763440898,-1.166548576,-1.476656801,-1.721655216,-1.865362953,3531,191,48,3.735207131
156,161,461,-1.564990498,-1.837279985,-2.150636837,-2.346014651,-2.638897342,-2.887057257,6892,437,128,8.567127429
157,115,410,-1.115961927,-1.473203925,-1.807218344,-1.988358465,-2.322175743,-2.533130974,4179,467,91,6.092245631
158,205,541,-1.750598332,-1.982097069,-2.234272453,-2.406946108,-2.652852041,-2.865581589,6969,455,125,10.64390483
159,239,303,-0.691568427,-0.980935925,-1.248412446,-1.439315463,-1.74479955,-1.930469965,1463,215,53,4.434276112
160,212,159,-0.979816433,-1.240187374,-1.519962906,-1.740287191,-2.081122954,-2.294021862,2492,484,77,4.764370023
161,76,564,-1.214494632,-1.809170159,-2.413404928,-2.610061793,-3.180857758,-3.418241816,8235,319,189,6.510524778
162,233,395,-0.928312707,-1.017935936,-1.130536486,-1.237633006,-1.375948069,-1.511540174,7907,300,32,9.98320463
163,69,338,-0.717972802,-1.264430773,-1.851445781,-2.076326399,-2.667580269,-2.78774297,7273,216,115,3.930105107
164,107,520,-1.062936312,-1.372075924,-1.674616638,-1.828838477,-2.111056055,-2.290458913,6271,408,70,7.215642497
165,96,252,-0.364851135,-0.831880652,-1.337161399,-1.773369604,-2.040220829,-2.228220011,2450,186,70,2.744463856
166,48,593,-0.507481223,-1.377215697,-2.094839484,-2.646202798,-2.986574336,-3.007804855,6027,179,142,4.118976539
167,166,560,-1.18469319,-1.512220462,-1.801749201,-1.955172916,-2.229427572,-2.403289797,2890,398,78,7.440565704
168,87,291,-1.06839351,-1.518318319,-1.950731754,-2.178069218,-2.635264531,-2.809916828,4958,483,123,4.676100442
169,45,212,-0.298190426,-1.091984302,-1.762763932,-2.318003346,-2.385858012,-2.666860274,5130,188,108,2.144043797
170,185,315,-1.348459223,-1.55945798,-1.815601444,-2.007828107,-2.279259268,-2.522982419,6139,406,93,7.548903353
171,69,460,-0.901081974,-1.605196918,-2.123769676,-2.317394209,-2.834634353,-2.955166312,3241,326,141,4.650389142
172,175,442,-1.533310552,-1.822259915,-2.220175957,-2.503233566,-2.990943757,-3.294138309,6772,186,182,7.14454278
173,135,184,-1.113035809,-1.482805262,-1.921480986,-2.18213894,-2.676115583,-2.868747262,3834,406,128,4.256284122
174,105,219,-1.233298634,-1.620397753,-2.104390187,-2.364354119,-2.893175685,-3.069163552,7640,386,154,4.956094407
175,124,467,-1.389338991,-1.956374712,-2.452942975,-2.65683441,-3.142841139,-3.379338047,2815,434,195,6.097372329
176,120,225,-1.146427428,-1.609687944,-2.170855322,-2.431896829,-3.038639775,-3.180135997,4302,262,169,4.043804493
177,130,545,-1.527397202,-1.875488965,-2.303085218,-2.529987701,-2.965203069,-3.203494723,8064,340,165,8.182325647
178,134,272,-1.224924091,-1.473553041,-1.789521974,-2.009691623,-2.366803665,-2.611014239,7680,465,99,6.492571156
179,175,305,-1.393318976,-1.626634937,-1.961765178,-2.226179762,-2.645216257,-2.93350893,7795,156,134,6.662002681
180,182,289,-0.8296315,-0.966269102,-1.144792362,-1.287209496,-1.502828177,-1.682600178,6191,388,41,7.221535591
181,218,420,-1.490677577,-1.8002958,-2.18213894,-2.465574721,-2.94656123,-3.256837331,4141,154,179,6.363644153
182,69,206,-0.553193952,-1.186624166,-1.764689198,-2.261059346,-2.622928108,-2.741400181,2674,287,110,2.533349629
183,235,523,-1.756952328,-2.005522159,-2.302185173,-2.540334797,-2.873691648,-3.171038495,6168,209,175,9.147383708
184,220,272,-1.185674576,-1.371799915,-1.588704346,-1.76288051,-2.006116733,-2.231474466,4705,355,71,7.119486342
185,117,166,-1.2276168,-1.647191702,-2.236048569,-2.524229768,-3.195159298,-3.333725667,7006,173,192,4.148176961
186,205,163,-1.331503191,-1.778330049,-2.205458382,-2.462988614,-2.953439361,-3.231454607,2001,423,170,4.20739036
187,196,372,-1.09275945,-1.441342063,-1.787966671,-2.002554577,-2.376985416,-2.55902693,2247,274,97,5.356967351
188,43,591,-0.926770453,-1.819480162,-2.255701507,-2.434175513,-2.902424096,-3.124475149,1293,426,155,5.482720723
189,189,177,-0.582518566,-0.851697525,-1.158553394,-1.389900857,-1.757010277,-1.971125398,1911,281,55,3.727488039
190,93,360,-0.77078445,-1.579976202,-2.255129152,-2.455386683,-3.158957335,-3.211155702,1487,232,176,3.205693345
