H1,H2,D1,D2,D3,D4,D5,D6,E1,E2,E3,,,,,,,
165,354,0.1987,0.14543,0.09915,0.07766,0.05341,0.03903,6431,359,177,,,,,,,
150,167,0.25115,0.19121,0.13054,0.09967,0.0631,0.04726,7867,308,145,,,,,,,
222,180,0.27149,0.1943,0.13887,0.10936,0.07353,0.05654,2552,414,127,,,,,,,
145,239,0.3181,0.21362,0.13331,0.10273,0.06102,0.05106,3498,276,141,,,,,,,
174,355,0.20531,0.14332,0.09919,0.07965,0.05639,0.04225,4087,487,167,,,,,,,
203,205,0.15028,0.11788,0.08724,0.06893,0.04948,0.03684,8454,497,199,,,,,,,
97,394,0.30397,0.18931,0.12124,0.0985,0.06324,0.04981,4749,421,137,,,,,,,
45,304,0.53206,0.20853,0.09381,0.07966,0.03415,0.03551,7617,196,194,,,,,,,
101,192,0.28641,0.19379,0.11904,0.09155,0.05356,0.04489,8043,452,159,,,,,,,
201,354,0.22061,0.15818,0.10667,0.08194,0.05161,0.03897,4110,231,175,,,,,,,
231,439,0.19647,0.14568,0.11053,0.09216,0.07041,0.05581,3760,455,130,,,,,,,
87,184,0.40033,0.22622,0.10826,0.08517,0.03881,0.03725,6320,157,182,,,,,,,
65,179,0.45673,0.24739,0.13514,0.10649,0.0559,0.05013,4923,359,140,,,,,,,
207,307,0.4636,0.40179,0.34083,0.29996,0.24645,0.20901,4161,395,36,,,,,,,
165,530,0.26503,0.17659,0.11994,0.0987,0.06761,0.05459,2874,357,127,,,,,,,
250,187,0.28379,0.17236,0.11222,0.08686,0.05288,0.0401,1449,270,167,,,,,,,
158,248,0.52416,0.41978,0.31913,0.25989,0.18886,0.15454,3454,304,50,,,,,,,
163,257,0.26725,0.21128,0.15289,0.11983,0.08141,0.06246,7480,267,115,,,,,,,
250,410,0.2442,0.2023,0.16588,0.14212,0.11441,0.09375,4966,317,79,,,,,,,
82,586,0.34094,0.16003,0.10506,0.08873,0.05831,0.04724,1333,460,147,,,,,,,
89,261,0.31223,0.17664,0.10294,0.08141,0.04612,0.04016,3992,437,179,,,,,,,
64,465,0.41425,0.27678,0.20603,0.17702,0.13255,0.10996,7070,490,66,,,,,,,
153,450,0.17309,0.12727,0.08903,0.07198,0.05181,0.03941,7993,495,178,,,,,,,
61,426,0.33833,0.18579,0.11485,0.09428,0.05863,0.0463,7742,412,144,,,,,,,
213,264,0.35019,0.30227,0.24753,0.20805,0.16156,0.13103,6370,192,59,,,,,,,
184,566,0.21089,0.15752,0.10554,0.07871,0.04746,0.03447,6348,172,196,,,,,,,
127,262,0.37117,0.23802,0.14545,0.11343,0.06697,0.0568,3006,281,127,,,,,,,
124,528,0.30635,0.23432,0.17313,0.14612,0.10898,0.09033,7504,366,78,,,,,,,
58,249,0.43688,0.2466,0.1504,0.11858,0.06932,0.05937,5123,441,122,,,,,,,
126,376,0.34305,0.22424,0.13961,0.1105,0.06779,0.0577,3674,268,126,,,,,,,
145,327,0.19303,0.13941,0.09407,0.07408,0.05095,0.0373,7497,464,185,,,,,,,
97,470,0.46243,0.22725,0.10147,0.08203,0.03433,0.03496,2588,163,194,,,,,,,
167,592,0.248,0.19739,0.1475,0.12095,0.09116,0.07168,7600,266,98,,,,,,,
103,284,0.31885,0.21836,0.1463,0.11651,0.07599,0.06317,5438,497,118,,,,,,,
179,472,0.46413,0.3853,0.3255,0.2893,0.24267,0.21197,3065,430,33,,,,,,,
181,387,0.20496,0.16732,0.13111,0.10992,0.08554,0.06837,8363,499,108,,,,,,,
141,530,0.23463,0.16219,0.10394,0.08216,0.05185,0.0405,5839,301,164,,,,,,,
133,594,0.39942,0.31203,0.23323,0.19679,0.14829,0.12808,5906,244,56,,,,,,,
145,559,0.32372,0.25742,0.18832,0.1523,0.10832,0.09033,7998,200,81,,,,,,,
167,281,0.29349,0.21146,0.13719,0.10378,0.06233,0.05072,4417,174,142,,,,,,,
93,527,0.62464,0.42042,0.30773,0.26564,0.19893,0.17294,2511,262,43,,,,,,,
143,517,0.29298,0.22287,0.15826,0.12838,0.08985,0.07198,6666,265,97,,,,,,,
179,485,0.3356,0.18897,0.1092,0.08588,0.04811,0.04236,1440,225,169,,,,,,,
138,158,0.27369,0.19528,0.12634,0.09641,0.05842,0.04782,5652,417,151,,,,,,,
128,325,0.2677,0.20171,0.14106,0.11234,0.07602,0.05934,8299,392,119,,,,,,,
202,549,0.17163,0.13514,0.10012,0.07999,0.05828,0.04425,7880,278,162,,,,,,,
168,293,0.51449,0.36175,0.25766,0.20806,0.14349,0.11884,1547,278,64,,,,,,,
133,299,0.65572,0.54255,0.43032,0.36409,0.28029,0.23472,4235,323,33,,,,,,,
43,487,0.6915,0.34738,0.23858,0.19885,0.13334,0.11493,2173,269,66,,,,,,,
172,202,0.23006,0.16538,0.10754,0.08127,0.0488,0.03625,5265,230,182,,,,,,,
232,252,0.17739,0.14307,0.11056,0.08933,0.06661,0.05098,6984,311,148,,,,,,,
44,535,0.4259,0.24286,0.18095,0.15592,0.11527,0.09564,4571,495,76,,,,,,,
118,164,0.79461,0.56585,0.3797,0.25831,0.19351,0.15988,1824,301,49,,,,,,,
244,600,0.33959,0.29852,0.26404,0.23191,0.20363,0.18077,5002,383,35,,,,,,,
146,401,0.22416,0.14473,0.09443,0.07609,0.0524,0.03876,3644,466,177,,,,,,,
